zone_id,zone_name,entries_count,coverage_percent,status
1,Isnad,0,0.0,À remplir
2,Matn,0,0.0,À remplir
3,Tarjih,0,0.0,À remplir
4,Takhrij,0,0.0,À remplir
5,Ilal,0,0.0,À remplir
6,Shuruh,0,0.0,À remplir
7,Naskh,0,0.0,À remplir
8,Mukhtalif,0,0.0,À remplir
9,Qawaid,0,0.0,À remplir
10,Fawaid,0,0.0,À remplir
11,Grading,0,0.0,À remplir
12,Sahih,0,0.0,À remplir
13,Daif,0,0.0,À remplir
14,Hasan,0,0.0,À remplir
15,Mutawatir,0,0.0,À remplir
16,Ahad,0,0.0,À remplir
17,Mawdu,0,0.0,À remplir
18,Munkar,0,0.0,À remplir
19,Shadh,0,0.0,À remplir
20,Maqlub,0,0.0,À remplir
21,Aqidah,0,0.0,À remplir
22,Fawaid_Extended,0,0.0,À remplir
23,Tarjih_Doctrinal,0,0.0,À remplir
24,Shuruh_Savants,0,0.0,À remplir
25,Naskh_Documented,0,0.0,À remplir
26,Ilal_Advanced,0,0.0,À remplir
27,Takhrij_Complete,0,0.0,À remplir
28,Mukhtalif_Hadith,0,0.0,À remplir
29,Qawaid_Fiqh,0,0.0,À remplir
30,Fatawa_Salafiyyah,0,0.0,À remplir
31,Manaqib_Sirah,0,0.0,À remplir
32,Glossaire_Termes,0,0.0,À remplir
